iter	Passed	Remaining
976	28375	668
977	28421	639
978	28466	610
979	28513	581
980	28566	553
981	28617	524
982	28663	495
983	28707	466
984	28750	437
985	28793	408
986	28838	379
987	28880	350
988	28928	321
989	28973	292
990	29018	263
991	29061	234
992	29108	205
993	29152	175
994	29196	146
995	29239	117
996	29280	88
997	29325	58
998	29371	29
999	29418	0
