iter	Logloss	AUC
161	0.1394600224	0.9586567693
162	0.1392642206	0.9588235294
163	0.1389898524	0.9588574717
164	0.1386290582	0.9590065228
165	0.1383494927	0.9591467194
166	0.1381182057	0.9592780615
167	0.1379255182	0.9593356158
168	0.1376216895	0.9596381453
169	0.1373111231	0.9597621086
170	0.1372112765	0.9598093327
171	0.1366918738	0.9603804492
172	0.1365149972	0.9604453824
173	0.1359660436	0.9606874059
174	0.1358988918	0.9607862814
175	0.1356495373	0.9607670966
176	0.1355324067	0.9610076444
177	0.1352934369	0.9611065199
178	0.1349957298	0.9618045512
179	0.1347563319	0.9625409522
180	0.1345316387	0.9625055341
181	0.1341630723	0.9628228211
182	0.1340562836	0.9629113663
183	0.1340562712	0.9629113663
184	0.1338408154	0.9630545143
185	0.1335842293	0.9634101709
186	0.1333971336	0.9634721525
187	0.1330090266	0.9638484696
188	0.1328205784	0.9641185325
189	0.1323046711	0.9648150881
190	0.1321289321	0.9650453056
191	0.1317909509	0.9649169151
192	0.1313493218	0.965659219
193	0.1311253878	0.9658348337
194	0.130690231	0.9664487471
195	0.1306465373	0.9664546501
196	0.1304946937	0.9666243617
197	0.1302991605	0.9665712346
198	0.1300711333	0.9667571795
199	0.1298143439	0.9668708125
200	0.1294416603	0.9669003276
201	0.1291749116	0.9670567575
202	0.1290859794	0.9670567575
203	0.1289318279	0.967173342
204	0.1287345465	0.9672161388
205	0.1285449427	0.9674522594
206	0.1284320169	0.967502435
207	0.1281256766	0.9680927363
208	0.1278708735	0.9684424899
209	0.1276080061	0.9684587232
210	0.1273730446	0.9684410141
211	0.1271195227	0.9686609014
212	0.1267808314	0.9691316667
213	0.126726311	0.9691700363
214	0.126332379	0.9694386234
215	0.1260778333	0.9696821227
216	0.1259043754	0.9697160651
217	0.1257825021	0.9699743219
218	0.1256435807	0.9699639916
219	0.1253041533	0.9699625159
220	0.124991382	0.9701159942
221	0.1246478688	0.9704952628
222	0.1245835435	0.9705336324
223	0.1243865342	0.9705557687
224	0.1243129384	0.9706177504
225	0.1241402502	0.9710530976
226	0.1237846203	0.9711357398
227	0.1235932631	0.9712508486
228	0.1234257753	0.9712538001
229	0.1231577804	0.9715607568
230	0.1228934485	0.9718470529
231	0.1225535871	0.9719370739
232	0.122309153	0.9724904814
233	0.1222388134	0.9725258995
234	0.1219721204	0.9725716478
235	0.1215622465	0.9734039727
236	0.1212350372	0.9735426935
237	0.1211131819	0.9735249845
